spot; pays; region; type; hauteur; orientation; nombre de voies; cotations
Les Roches Qui Dansent; France; Drôme; TypeBloc; Hauteur8 m; OrientationToutes; Nombre de voies21 blocs, 90 pasages; CotationsDe 4a à 8a
Les Sucettes de Borne; France; Drôme; TypeFalaise; Hauteur100 m; OrientationNord, Sud; Nombre de voies60; CotationsDe 5a à 8a+
Les Traverses; France; Hautes-Alpes; TypeFalaise; Hauteur35 m; OrientationSud, Sud-Ouest; Nombre de voiesPlus de 50; CotationsDe 4b à 8b
Les Trois Rivières (Entrechaux); France; Vaucluse; TypeFalaise; Hauteur30 m; OrientationNord, Nord-Ouest; Nombre de voiesUne centaine; CotationsDe 6a à 8b/c
Llo; France; Pyrénées-Orientales; TypeFalaise; Hauteur10 à 30 m; OrientationSud, Sud-Ouest; Nombre de voies40 voies; CotationsDe 4a à 8a
L’auberge Espagnole; France; Drôme; TypeFalaise; Hauteur35 m; OrientationToutes; Nombre de voies60 voies; CotationsDe 5a à 8b+
Manjo Carn; France; Tarn-et-Garonne; TypeFalaise; Hauteur15 à 90 m; Orientationnord, nord-ouest; Nombre de voies-; CotationsDe 4b à 9a
Margalef; Espagne; ; TypeFalaise; HauteurNC; OrientationToutes; Nombre de voies500 voies; CotationsDe 4a à 9b
Marocaz; France; Savoie; TypeFalaise; Hauteur15 à 30 m; OrientationEst, Sud-Est; Nombre de voies54 voies; CotationsDe 6a+ à 8b+
Médonnet; France; Haute-Savoie; TypeBloc; Hauteur5 m; OrientationToutes; Nombre de voies250 passages; CotationsDe 4b à 8a
Mévouillon; France; Drôme; TypeFalaise; Hauteur35 m; OrientationEst, ouest; Nombre de voies60; CotationsDe 4a à 8b
Millennium; Italie; ; TypeFalaise; Hauteur60 m; OrientationEst; Nombre de voies100 voies; CotationsDe 6a à 8b
Mollans sur Ouvèze; France; Vaucluse; TypeFalaise; Hauteurde 10 à 35 m; OrientationNord, Nord-Est, Sud, Sud-Est; Nombre de voies150; CotationsDe 5a à 9b
Mont Aiguille; France; Isère; TypeFalaise; Hauteur150 m à 320 m; OrientationNC; Nombre de voies37; CotationsDe PD à ED+
Mont-Dauphin; France; Hautes-Alpes; TypeFalaise; Hauteur40m; OrientationEst; Nombre de voies60 voies; CotationsDe 6a à 8a+
Mouriès; France; Bouches-du-Rhône; TypeFalaise; Hauteur20 à 35 m; OrientationSud, Nord; Nombre de voiesPlus de 200 voies; CotationsDe 3a à 8b
Notre-Dame du Cros; France; Aude; TypeFalaise; Hauteur85 m; OrientationOuest, Sud-Est; Nombre de voies120 voies; CotationsDe 4a à 7c+
Omblèze; France; Drôme; TypeFalaise; Hauteur15 à 200 m; OrientationSud, Sud-Est; Nombre de voies500 voies; CotationsDe 3a à 9a
Orgon; France; Bouches-du-Rhône; TypeFalaise; Hauteur35 à 75 m; OrientationEst, Nord-Est; Nombre de voies350 voies; CotationsDe 3b à 9a
Orlu; France; Ariège; TypeBloc; Hauteur8 à 9 m; OrientationToutes; Nombre de voiesPlus de 50 passages; CotationsDe 4c à 8a
Orpierre; France; Hautes-Alpes; TypeFalaise; Hauteur190 m; OrientationToutes; Nombre de voies500 voies; CotationsDe 3a à 8c
Peillon; France; Alpes-Maritimes; TypeFalaise; Hauteur80 m; OrientationSud, Sud-Est; Nombre de voies100 voies; CotationsDe 4c à 8c
Pen-Hir; France; Finistère; TypeFalaise; Hauteur80 m; OrientationOuest; Nombre de voiesAu moins 130; CotationsDe 3c à 6a
Pène Haute; France; Hautes-Pyrénées; TypeFalaise; Hauteur50 à 100 m; OrientationEst, Sud; Nombre de voies200 voies; CotationsDe 4c à 8a
Pic de Bure; France; Hautes-Alpes; TypeFalaise; Hauteur600 m; OrientationEst; Nombre de voies21; CotationsDe 4b à 6b
