spot,pays,region,type,hauteur,orientation,nombre de voies,cotations
Le Fugeret (Annot),France,Alpes-de-Haute-Provence,Bloc,10 à 12 m,Toutes,Environs 1600,De débutant à expert
Le Gauxberg,France,Bas-Rhin,Falaise,25 m,Sud,70 voies,De 6a à 9a
Le Grand Sablat,France,Isère,Bloc,7 m,Toutes,60 passages,De 6a à 8c
Le Grand Vallon (Roquevaire),France,Bouches-du-Rhône,Falaise,45 m,Toutes,140 voies,De 3c à 9a
Le Joncas,France,Hérault,Falaise,70 m,"Sud-Ouest, Nord-Est",70 voies,De 4b à 8a
Le Kronthal,France,Bas-Rhin,Falaise,30 m,Sud,130 voies,De 5a à 8b
Le Moulin de Bertrand,France,Hérault,Falaise,25 m,Sud-Est,30 voies,De 4b à 8b
Le Piéroux,France,Hautes-Alpes,Falaise,250 m,Ouest,10,De 3 à 6c+
Le Pont du Prêtre,France,Isère,Falaise,25 à 30 m,Ouest,48,De 5a à 6b+
Le précipice de Corbière,France,Drôme,Falaise,15 à 40 m,Ouest-Est,34,De 4a à 8
Le Prieuré (Lodève),France,Hérault,Bloc,7 m,toutes,300 pasages,De 3a à 8b
Le Quié de Sinsat,France,Ariège,Falaise,15 à 400 m,Sud-Est,200 voies,De 3c à 7c
Le Roc d'Anglars,France,Tarn-et-Garonne,Falaise,de 30 à 80 m,nord,170,De 4c à 8b+
Le rocher Crespin,France,Drôme,Falaise,35 m,Nord,34,De 5c à 9a
Le Rocher de 11 heures,France,Isère,Falaise,15 à 30 m,Sud-Ouest,25,De 4a à 6b+
Le Rocher de Gonson,France,Isère,Falaise,120 à 150 m,Plein ouest,5,De NC à NC
Le Rocher du Sphinx,France,Côtes-d’Armor,Falaise,15 m,"Nord, Ouest",20 voies,De 3c à 6a
Le Salève,France,Haute-Savoie,"Bloc, Falaise",7 m pour les blocs. 20 à 180 m pour la falaise,Toutes,450 voies,De 3a à 8a
Le Saussois,France,Yonne,Falaise,50 m,Sud,200 voies,De 4c à 8c
Le Teillon (Verdon),France,Alpes-de-Haute-Provence,Falaise,200 m,Ouest,30 voies,De 6a à 8b
Le Thaurac,France,Hérault,Falaise,30 m,"Ouest, Sud-Ouest",400 voies,De 4b à 8b
Le Verdon,France,Alpes-de-Haute-Provence,Falaise,250 à 350 m,Toutes,1500 voies,De Tous niveaux à Tous niveaux
Lérouville,France,Meuse,Falaise,8 à 30 m,Sud-Ouest,90 voies,De 4c à 8b
Les 3 Becs,France,Drôme,Falaise,250 à 350 m,Nord-Est à Nord Ouest,20 voies,De 5b à 7b
Les Aiguilles Rouges,France,Haute-Savoie,Falaise,130 à 250 m,Toutes,Une trentaine,De 5b à 6b
